"STREET","CITY","REGION","ZIP","CC2"
"Rua José Cascardi","Cubatão","SP","11535-080","BR"
"Rua Pedro Álvares Cabral","Cubatão","SP","11542-090","BR"
"Avenida Engenheiro Plínio de Queiróz","Cubatão","SP","11570-000","BR"
"Rua Monsenhor Ascânio Brandão","Caraguatatuba","SP","11661-210","BR"
"Rua Manoel Calixto de Souza","Caraguatatuba","SP","11665-555","BR"
"Rua João Ribeiro","Caraguatatuba","SP","11666-490","BR"
"Praça Josefina Galiano Nobre","Caraguatatuba","SP","11667-370","BR"
"Rua Adália","Caraguatatuba","SP","11669-350","BR"
"Rua São Miguel","Caraguatatuba","SP","11671-230","BR"
"Rua Jorge Álvares Maciel","Caraguatatuba","SP","11675-615","BR"
"Rua D","Caraguatatuba","SP","11675-642","BR"
"Rua Recanto Som do Mar","Caraguatatuba","SP","11676-248","BR"
"Rua Dom Antônio Luiz de Souza","Caraguatatuba","SP","11676-330","BR"
"Rua Pegasso","Caraguatatuba","SP","11676-535","BR"
"Rua José Garcia da Fonseca","Caraguatatuba","SP","11676-691","BR"
"Rua João Caetano dos Santos Filho","Caraguatatuba","SP","11676-706","BR"
"Rua Sebastião Bugolin","Caraguatatuba","SP","11677-532","BR"
"Rua Paraguai","Caraguatatuba","SP","11677-560","BR"
"Avenida Presidente Castelo Branco","Praia Grande","SP","11700-805","BR"
"Rua Nilza Ferreira Genário","Praia Grande","SP","11704-250","BR"
"Rua Assis Valente","Praia Grande","SP","11709-100","BR"
"Rua Primeiro de Maio","Poá","SP","08560-030","BR"
"Avenida Deputado Joviano Alvim","Poá","SP","08561-500","BR"
"Rua Cambé","Poá","SP","08563-660","BR"
"Rua Luzia Ruth da Silva","Poá","SP","08565-310","BR"
"Rua Amazonas","Itaquaquecetuba","SP","08572-680","BR"
"Avenida Uberaba","Itaquaquecetuba","SP","08573-070","BR"
"Rua Taubaté","Itaquaquecetuba","SP","08577-680","BR"
"Rua Serra Acaraí","Itaquaquecetuba","SP","08581-070","BR"
"Rua Bonsucesso","Itaquaquecetuba","SP","08581-300","BR"
"Rua Joaquim Serra","Itaquaquecetuba","SP","08583-680","BR"
"Rua Mario Covas","Itaquaquecetuba","SP","08585-020","BR"
"Rua Joaquim Távora","Itaquaquecetuba","SP","08587-819","BR"
"Rua Estância Velha","Itaquaquecetuba","SP","08590-035","BR"
"Rua Alvarenga Peixoto","Itaquaquecetuba","SP","08598-412","BR"
"Rua São José","Itaquaquecetuba","SP","08599-480","BR"
"Avenida Brasília","Suzano","SP","08610-100","BR"
"Rua Benedito Leite de Siqueira","Suzano","SP","08613-530","BR"
"Rua Shiguenobu Takahashi","Suzano","SP","08615-540","BR"
"Rua Hélio de Souza Melo","Suzano","SP","08616-876","BR"
"Rua Aurendina Pinto Lara","Suzano","SP","08630-440","BR"
"Rua Treze","Suzano","SP","08633-744","BR"
"Rua Carim Jorge","Suzano","SP","08655-760","BR"
"Rua Maria Favoti Cusma","Suzano","SP","08665-305","BR"
"Avenida Senador Roberto Simonsen","Suzano","SP","08671-035","BR"
"Rua Antônio dos Reis","Suzano","SP","08673-100","BR"
"Rua Kaneji Kodama","Suzano","SP","08676-010","BR"
"Rua Rivaldo Venâncio da Silva","Suzano","SP","08676-400","BR"
"Rua Setenta e Nove","Suzano","SP","08690-425","BR"
"Rua Cento e Cinqüenta","Suzano","SP","08690-780","BR"
"Rua Fernando Rego","Suzano","SP","08690-896","BR"
"Rua Ernesto Asbeck","Suzano","SP","08692-015","BR"
"Rua Capitão Mariano","Mogi das Cruzes","SP","08717-050","BR"
"Rua Luiz João Bourg","Mogi das Cruzes","SP","08720-350","BR"
"Rua João Macedo","Mogi das Cruzes","SP","08737-210","BR"
"Travessa Alberto Bertalmio","Mogi das Cruzes","SP","08745-130","BR"
"Rua Tingassu","Mogi das Cruzes","SP","08762-470","BR"
"Rua Presidente Campos Salles","Mogi das Cruzes","SP","08770-210","BR"
"Rua Girassol","Mogi das Cruzes","SP","08771-321","BR"
"","","","","BR"
"Rua Antônia Veiga Ruiz","Mogi das Cruzes","SP","08773-060","BR"
"Rua Cândido Sales","Mogi das Cruzes","SP","08774-150","BR"
"Rua Serra da Mantiqueira","Mogi das Cruzes","SP","08775-070","BR"
"Rua Sebastião Vasconcelos Filho","Mogi das Cruzes","SP","08775-395","BR"
"Rua João Mello Reis","Mogi das Cruzes","SP","08830-120","BR"
"Travessa da Matriz","Mogi das Cruzes","SP","08830-650","BR"
"Rua Mirim","Mogi das Cruzes","SP","08830-660","BR"
"Rua Quatro","Mogi das Cruzes","SP","08832-030","BR"
"Rua Doutor Armando de Arruda Pereira","Santo André","SP","09050-070","BR"
"Travessa Santana","Santo André","SP","09071-460","BR"
"Travessa Paramirim","Santo André","SP","09071-487","BR"
"Rua 3 de Março","Santo André","SP","09090-503","BR"
"Rua 6 de Junho","Santo André","SP","09090-506","BR"
"Rua Pará","Santo André","SP","09111-720","BR"
"Rua Armando Sales de Oliveira","Santo André","SP","09130-210","BR"
"Rua Lilás","Santo André","SP","09160-354","BR"
"Travessa Aipê","Santo André","SP","09171-834","BR"
"Rua Angico","Santo André","SP","09175-700","BR"
"Rua Fausto","Santo André","SP","09175-810","BR"
"Rua Guararema","Santo André","SP","09185-700","BR"
"Rua General Osório","Santo André","SP","09190-440","BR"
"Praça Senador Victorino Freire","Santo André","SP","09190-720","BR"
"Avenida dos Estados","Santo André","SP","09210-580","BR"
"Praça Pedro Maximiano","Santo André","SP","09220-160","BR"
"Rua Lisboa","Santo André","SP","09230-030","BR"
"Rua Jandaia","Santo André","SP","09240-700","BR"
"Rua Jonas Neto","Santo André","SP","09250-355","BR"
"Rua Ilha Grande","Santo André","SP","09272-386","BR"
"Travessa Itaqui","Santo André","SP","09272-434","BR"
"Rua Maria Messias dos Santos","Mauá","SP","09320-771","BR"
"Rua Dona Emília Scarparo","Mauá","SP","09321-460","BR"
"Rua Victório Chiarotti","Mauá","SP","09340-350","BR"
"Rua Laércio Carlucci","Mauá","SP","09340-550","BR"
"Rua Santiago","Mauá","SP","09350-570","BR"
"Rua Arcelindo Benetti","Mauá","SP","09361-174","BR"
"Rua Lontras","Mauá","SP","09361-190","BR"
"Rua São Roque","Mauá","SP","09370-210","BR"
"Rua Capitão José Gallo","Ribeirão Pires","SP","09400-080","BR"
"Rua Miguel Prisco","Ribeirão Pires","SP","09400-110","BR"
"Rua José Laurito","Ribeirão Pires","SP","09401-090","BR"
"Rua Rússia","Ribeirão Pires","SP","09402-190","BR"
"Rua Ernesto Molon","Ribeirão Pires","SP","09405-250","BR"
"Rua Ovídio Abrantes","Ribeirão Pires","SP","09424-150","BR"
"Rua Servílio Lunardi","Ribeirão Pires","SP","09432-535","BR"
"Rua Helena del Corto","Ribeirão Pires","SP","09436-290","BR"
"Rua Letícia","Ribeirão Pires","SP","09445-200","BR"
"Avenida Elias Yazbek","Embu das Artes","SP","06803-903","BR"
"Rua do Portal","Embu das Artes","SP","06805-240","BR"
"Rua José Marcelino da Silva","Embu das Artes","SP","06806-025","BR"
"Rua Criciúma","Embu das Artes","SP","06807-040","BR"
"Viela Caxinguelê","Embu das Artes","SP","06807-817","BR"
"Rua Augusto de Almeida Batista","Embu das Artes","SP","06814-165","BR"
"Rua Augusto de Almeida Batista","Embu das Artes","SP","06814-555","BR"
"Rua Júlio Mesquita","Embu das Artes","SP","06820-060","BR"
"Rua Monte Azul","Embu das Artes","SP","06835-020","BR"
"Viela Santa Zita","Embu das Artes","SP","06835-516","BR"
"Rua Tupiniquins","Embu das Artes","SP","06843-463","BR"
"Rua José Antônio da Silva Júnior","Itapecerica da Serra","SP","06851-360","BR"
"Avenida das Nações","Itapecerica da Serra","SP","06859-090","BR"
"Rua Apucarana","Itapecerica da Serra","SP","06866-200","BR"
"Rua Marabá","Itapecerica da Serra","SP","06867-520","BR"
"Estrada Maria Cintra Domingues","Itapecerica da Serra","SP","06880-101","BR"
"Rua José Silvério da Silva","Itapecerica da Serra","SP","06886-505","BR"
"Rua Marcolina Moreira","Guarulhos","SP","07021-010","BR"
"Rua Augusta","Guarulhos","SP","07025-130","BR"
"Rua Assis","Guarulhos","SP","07031-180","BR"
"Rua Pedro Perella","Guarulhos","SP","07031-240","BR"
"Rua Soldado Antônio Mathias Camargo","Guarulhos","SP","07031-280","BR"
"Viela Garuva","Guarulhos","SP","07032-310","BR"
"Viela Monte Horebe","Guarulhos","SP","07033-252","BR"
"Viela Lages","Guarulhos","SP","07042-160","BR"
"Rua Urutaí","Guarulhos","SP","07050-170","BR"
"Travessa Leon Diniz","Guarulhos","SP","07052-130","BR"
"Rua Peri Mirim","Guarulhos","SP","07053-010","BR"
"Rua Celeste Fernandes Dalphorno","Guarulhos","SP","07075-125","BR"
"Viela Paulo Faria","Guarulhos","SP","07075-161","BR"
"Rua Treze","Guarulhos","SP","07075-430","BR"
"Rua Araguacema","Guarulhos","SP","07083-110","BR"
"Rua Três Fronteiras","Guarulhos","SP","07083-350","BR"
"Rua Carlos Rodrigues","Guarulhos","SP","07084-320","BR"
"Rua Camila Martins dos Santos","Guarulhos","SP","07094-070","BR"
