STREET,CITY,REGION,ZIP,COUNTRY,LONGITUDE,LATITUDE
Rua Assis Valente,Praia Grande,SP,11709-100,BR,-46.58369,-24.07661
Rua Primeiro de Maio,Poá,SP,08560-030,BR,-46.33377,-23.52732
Rua Serra Acaraí,Itaquaquecetuba,SP,08581-070,BR,-46.35563,-23.4545
Rua Treze,Suzano,SP,08633-744,BR,-46.26721,-23.62562
Rua Jacinto Kerry Valente,São Paulo,SP,05089-050,BR,-46.72757,-23.5211
Rua General Horta,São Paulo,SP,05181-490,BR,-46.74394,-23.45465
Rua Renato de Castro,São Paulo,SP,05376-180,BR,-46.76533,-23.58046
Rua Antonina,São Paulo,SP,01255-010,BR,-46.68202,-23.54751
Rua Articura,São Paulo,SP,02084-150,BR,-46.59912,-23.49512
Rua João de Lara da Cunha,São Paulo,SP,02190-080,BR,-46.5638,-23.50939
Rua Alípio de Sousa,São Paulo,SP,02201-020,BR,-46.59127,-23.48573
Avenida Major Roberto dos Santos,São Paulo,SP,02224-010,BR,-46.57557,-23.4844
Rua Tríplice Aliança,São Paulo,SP,02320-160,BR,-46.59449,-23.4475
Praça Antônio Zunkeller Leite,São Paulo,SP,02408-000,BR,-46.62762,-23.48379
Via de Pedestre Natureza Morta,São Paulo,SP,08050-260,BR,-46.71359,-23.73289
Travessa João Antonio,São Bernardo do Campo,SP,09791-255,BR,-46.54196,-23.73522
Avenida Conselheiro Nébias,Santos,SP,11045-901,BR,-46.32321,-23.95508
Rua Eustáchio Alves de Souza,Santos,SP,11095-550,BR,-46.37265,-23.92623
Rua Dois Mil Cento e Sessenta e Sete,São Vicente,SP,11330-770,BR,-46.37289,-23.95377
Rua Peçanha,São Paulo,SP,03934-075,BR,-46.50227,-23.59082
Rua Ibiracatu,São Paulo,SP,03940-070,BR,-46.49758,-23.59208
Alameda dos Anapurus,São Paulo,SP,04087-907,BR,-46.65983,-23.60912
Rua Cristo Redentor,São Paulo,SP,04236-260,BR,-46.7196,-23.49034
Rua Leucina,São Paulo,SP,04318-100,BR,-46.63457,-23.64571
Rua Rio Grande do Sul,São Paulo,SP,04412-070,BR,-46.64454,-23.67252
Travessa Arroio Primavera,São Paulo,SP,05574-280,BR,-46.80124,-23.58618
Rua Francisco José Rodrigues Neto,São Paulo,SP,05657-225,BR,-46.72008,-23.6193
Alameda Aroeira Vermelha,Osasco,SP,06030-314,BR,-46.77214,-23.55925
Rua João Bitencourt,Osasco,SP,06038-090,BR,-46.77767,-23.56488
Praça Antônio Menk,Osasco,SP,06097-060,BR,-46.77553,-23.52895
Viela Geraldo Ribeiro Moreira,Osasco,SP,06240-210,BR,-46.80093,-23.50103
Alameda Espanha,Carapicuíba,SP,06355-469,BR,-46.86736,-23.55668
Rua Bálsamo,Carapicuíba,SP,06381-310,BR,-46.83994,-23.54709
Rua Yen,Barueri,SP,06410-040,BR,-46.87068,-23.50354
Rua Francisco Gonçalves Pinto,Santana de Parnaíba,SP,06503-115,BR,-46.93552,-23.45137
Alameda Bali,Santana de Parnaíba,SP,06543-085,BR,-46.86073,-23.47242
Rua Francisco de Barros Cobra,Jandira,SP,06624-020,BR,-46.90719,-23.55356
Rua Áries,Cotia,SP,06709-660,BR,-46.84041,-23.57816
Rua Cândido Sales,Mogi das Cruzes,SP,08774-150,BR,-46.28101,-23.46634
Travessa Santana,Santo André,SP,09071-460,BR,-46.54887,-23.65726
Rua Angico,Santo André,SP,09175-700,BR,-46.51735,-23.68571
Rua Victório Chiarotti,Mauá,SP,09340-350,BR,-46.43855,-23.67312
Rua São Roque,Mauá,SP,09370-210,BR,-46.46121,-23.67179
Rua do Portal,Embu das Artes,SP,06805-240,BR,-46.8474,-23.627
Rua José Marcelino da Silva,Embu das Artes,SP,06806-025,BR,-46.83768,-23.63989
Rua Augusto de Almeida Batista,Embu das Artes,SP,06814-165,BR,-46.81306,-23.66478
Rua Augusta,Guarulhos,SP,07025-130,BR,-46.54553,-23.48162
Rua Assis,Guarulhos,SP,07031-180,BR,-46.40396,-23.44448
Rua Urutaí,Guarulhos,SP,07050-170,BR,-46.55042,-23.46215
Rua Carlos Rodrigues,Guarulhos,SP,07084-320,BR,-46.53815,-23.48091
Praça Cabo Eutrópio Wilhelm de Freitas,Guarulhos,SP,07096-232,BR,-46.50768,-23.44353
Rua Dois,Guarulhos,SP,07130-543,BR,-46.39124,-23.44237
Rua São João do Oriente,Guarulhos,SP,07133-060,BR,-46.51107,-23.43968
Rua Lagoa das Pedras,Guarulhos,SP,07151-760,BR,-46.45545,-23.40315
Viela Teerã,Guarulhos,SP,07152-560,BR,-46.46322,-23.40435
Rua Jefe,Guarulhos,SP,07160-240,BR,-46.45088,-23.4104
Rua Tabocas,Guarulhos,SP,07161-456,BR,-46.43438,-23.39059
Avenida Doutor José Luis Leme Maciel,Cajamar,SP,07786-450,BR,-46.82728,-23.33325
Rua Malvina Maria de Oliveira,Cotia,SP,06726-465,BR,-47.042,-23.66531
Rua Joaquim Pires de Oliveira,Cotia,SP,06727-186,BR,-47.05422,-23.71513
Estrada da Capelinha,Cotia,SP,06729-990,BR,-46.9171,-23.57104
Rua Filadélfia,São Paulo,SP,04564-050,BR,-46.68787,-23.61196
Viela Purini,São Paulo,SP,04770-200,BR,-46.71701,-23.68276
Rua Jaime Biscarri,São Paulo,SP,04848-130,BR,-46.67549,-23.73475
Rua Luiz Batista Silveira,Assis,SP,19804-190,BR,-50.4331,-22.66192
Rua Castro Alves,Assis,SP,19814-060,BR,-50.41212,-22.65657
Ilha do Sol,Rio de Janeiro,RJ,20180-007,BR,-43.18668,-22.78626
Rua Santa Filomena,Rio de Janeiro,RJ,20270-110,BR,-43.21451,-22.91457
Beco Jackson do Pandeiro,Rio de Janeiro,RJ,21041-430,BR,-43.28934,-23.01
Rua Santa Bárbara,Rio de Janeiro,RJ,21220-790,BR,-43.27432,-22.85973
Rua Andrade Araújo,Rio de Janeiro,RJ,21341-311,BR,-43.35167,-22.87926
Rua Renovação,Rio de Janeiro,RJ,21525-250,BR,-43.35058,-22.81761
Rua Ender,Rio de Janeiro,RJ,21530-160,BR,-43.35334,-22.82647
Praça Estoril,Rio de Janeiro,RJ,21610-500,BR,-43.3704,-22.86536
Rua Paulo de Aquino,Rio de Janeiro,RJ,21645-500,BR,-43.37162,-22.82566
Rodovia Francisco Alves Negrão,Taquarivaí,SP,18425-970,BR,-48.69253,-23.92459
Rua João Tezza Neto,Avaré,SP,18701-813,BR,-48.89043,-23.10647
Rua Eduardo Zumkeller,São Paulo,SP,02420-030,BR,-46.63537,-23.47564
Travessa Isabela Leonarda,São Paulo,SP,02545-120,BR,-46.66613,-23.48433
Rua Mário de Sá Carneiro,São Paulo,SP,02882-140,BR,-46.66854,-23.46952
Rua Enrico Carafa,São Paulo,SP,02932-010,BR,-46.71019,-23.49532
Rua São Urbano,São Paulo,SP,02966-000,BR,-46.70995,-23.46952
Rua da Mooca,São Paulo,SP,03165-901,BR,-46.58198,-23.56178
Rua Santo Antônio do Ica,São Paulo,SP,03265-140,BR,-46.53989,-23.59569
Alameda Aurora,Bragança Paulista,SP,12916-397,BR,-46.52099,-22.99617
Rua dos Jacarandás,Bragança Paulista,SP,12918-223,BR,-46.52809,-22.99614
Rua José Rodrigues de Sousa,Bragança Paulista,SP,12926-332,BR,-46.54094,-22.93779
Rua Três,Atibaia,SP,12949-100,BR,-46.58479,-23.11591
Avenida das Amoreiras,Campinas,SP,13050-035,BR,-47.0919,-22.93373
Rua Abigail Zeni Nader,Campinas,SP,13054-500,BR,-47.12381,-22.98034
Rua Rodney Ricci,Campinas,SP,13056-227,BR,-47.1511,-22.98854
Rua Romeu Micheloni,Campinas,SP,13058-303,BR,-47.17491,-22.95032
Praça Noel Rosa,Campinas,SP,13070-109,BR,-47.09397,-22.94468
Rua Erasmo Braga,Campinas,SP,13070-147,BR,-47.08125,-22.89502
Rua Cotegipe,São José dos Campos,SP,12230-551,BR,-45.89167,-23.22662
Rua Roberto Baranov,São José dos Campos,SP,12234-190,BR,-45.90005,-23.28127
Rua Alenquer,São José dos Campos,SP,12235-800,BR,-45.9127,-23.25064
Rua Raimundo Batista Conceição,São José dos Campos,SP,12237-591,BR,-45.91275,-23.23911
Rua dos Cirurgiões Dentistas,São José dos Campos,SP,12248-515,BR,-45.80303,-23.17124
Travessa Ciro de Andrade,Caçapava,SP,12295-232,BR,-45.71773,-23.10305
Rua Montese,Jacareí,SP,12307-380,BR,-45.95546,-23.29655
Rua Campinas,Ribeirão Preto,SP,14075-070,BR,-47.79459,-21.1496
Rua Guiana Francesa,Ribeirão Preto,SP,14075-220,BR,-47.79337,-21.14925
Rotatória Maria do Rosário Kenan,Ribeirão Preto,SP,14079-100,BR,-47.76917,-21.21455
Rua Joaquim Manoel Justino,Sertãozinho,SP,14170-339,BR,-47.97227,-21.13005
Rua Matheus Benelli,Sertãozinho,SP,14171-115,BR,-47.98671,-21.15086
Rua Benedito Paula dos Santos,Guaratinguetá,SP,12505-220,BR,-45.20152,-22.81476
Rua Domingos S. Gilio Lopes,Lorena,SP,12610-160,BR,-45.12533,-22.75865
Rua Santo Onofre,Americana,SP,13469-416,BR,-47.31354,-22.72304
Rua Sétimo Fracalossi,Limeira,SP,13486-198,BR,-47.39032,-22.55915
Rua Maria Luísa Furlani Melchert,Campinas,SP,13088-135,BR,-47.03403,-22.86128
Rua Siqueira Campos,Campinas,SP,13106-970,BR,-47.0833,-22.90351
Rua Lauzino Ramos Ferreira,Sumaré,SP,13178-322,BR,-45.08374,-23.43806
Avenida Três,Sumaré,SP,13180-171,BR,-47.1993,-22.84579
Rua Quatorze,Hortolândia,SP,13185-022,BR,-47.19911,-22.85244
Praça Pompeu Perdiz,Jundiaí,SP,13207-749,BR,-46.89115,-23.18807
Rua Pássaro Preto,Jundiaí,SP,13212-824,BR,-47.01124,-23.20226
Rua Maria Luiza Gáspari Muller,Jundiaí,SP,13213-131,BR,-46.96275,-23.15035
Rua Maria Inês,Várzea Paulista,SP,13220-070,BR,-46.84653,-23.21167
Rua F,Várzea Paulista,SP,13223-336,BR,-46.83116,-23.21073
Rua Aruá,Várzea Paulista,SP,13225-572,BR,-46.84551,-23.22217
Rua Diamante,Campo Limpo Paulista,SP,13232-445,BR,-46.76594,-23.20468
Avenida Independência,Valinhos,SP,13276-030,BR,-46.99851,-22.97835
Rua Amsterdan,Indaiatuba,SP,13337-051,BR,-47.18444,-23.06483
Rua Boituva,Piracicaba,SP,13401-816,BR,-47.6732,-22.77968
Rua Waldomiro Pedroso,Santa Bárbara D'Oeste,SP,13450-357,BR,-47.41672,-22.76281
Alameda Camburiu,Bebedouro,SP,14708-078,BR,-48.49306,-20.91944
Rua Catanzaro,Araraquara,SP,14803-843,BR,-48.18547,-21.82973
Praça Francisco Alves,Mogi Mirim,SP,13800-057,BR,-46.9248,-22.43321
Rua Octávio Franco,Mogi Guaçu,SP,13848-443,BR,-46.9193,-22.35339
Rua João Ferreira Giao,São João da Boa Vista,SP,13871-097,BR,-46.77722,-22.00115
Rua Olegário Pereira da Silva,Itapira,SP,13973-026,BR,-46.8103,-22.45112
Rua Alfredo Condeixa,Ribeirão Preto,SP,14031-383,BR,-47.8457,-21.19822
Rua Japurá,Ribeirão Preto,SP,14060-406,BR,-47.8131,-21.13215
Travessa Paulo Coimbra Patto,Catanduva,SP,15810-376,BR,-48.97127,-21.13936
Rua Antônio Cerizza,Araçatuba,SP,16022-440,BR,-50.45912,-21.23993
Rua São Vicente,Araçatuba,SP,16050-070,BR,-50.4488,-21.20275
Rua Pedro Grassi,Araçatuba,SP,16075-185,BR,-50.4636,-21.18704
Avenida João Gregolin,Birigui,SP,16201-491,BR,-50.3216,-21.26177
Rua Odemir Constantino,Birigui,SP,16202-345,BR,-50.30538,-21.2891
Rua Piauí,Birigui,SP,16202-448,BR,-50.33012,-21.28378
Rua Coronel José Braúlio Junqueira de Andrade,Lins,SP,16401-140,BR,-49.74316,-21.6619
Travessa Catarino Sales da Exaltação,Lins,SP,16401-379,BR,-49.74212,-21.67172
Rua Fátima Regina Pereira,Lins,SP,16403-107,BR,-49.74305,-21.67939
Rua Antônio Garcia,Bauru,SP,17012-050,BR,-49.06589,-22.33304
Rua João Garcia Martinez,Bauru,SP,17021-180,BR,-49.07366,-22.30612
Rua Orlando Stefano,Bauru,SP,17048-180,BR,-49.03611,-22.36007
Rua Elizabete Bortolomai,Bauru,SP,17057-651,BR,-49.13139,-22.32298
Rua Padre Bonilha,Jaú,SP,17211-380,BR,-48.54193,-22.30593
Rua Waldemar Tomé,Marília,SP,17505-610,BR,-49.96693,-22.1943
Rua Athanízio Senna da Silva,Marília,SP,17512-816,BR,-49.97089,-22.15621
Rua Emerenciana Alves Neves,Marília,SP,17539-108,BR,-49.88641,-22.22355
Alameda Família Pagliato,Sorocaba,SP,18073-415,BR,-47.51776,-23.44083
Rua Antônio Matiello,Sorocaba,SP,18074-635,BR,-47.48559,-23.45226
Rua Francisco Ovidio,São José do Rio Preto,SP,15045-215,BR,-49.38846,-20.77979
Rua Celso Pereira dos Santos,São José do Rio Preto,SP,15052-872,BR,-49.4438,-20.78971
Rua Pedro Meira Sobrinho,Votorantim,SP,18115-320,BR,-47.43988,-23.55479
Rua Maria Augusta Ferreira,São Roque,SP,18132-653,BR,-47.14954,-23.5065
Rua Tarsila do Amaral,São Roque,SP,18143-856,BR,-46.50156,-23.4652
Rua Geraldo Vieira,Presidente Prudente,SP,19036-142,BR,-51.38071,-22.07168
Alameda Ana Maia Eugênio,Presidente Prudente,SP,19053-687,BR,-51.41801,-22.1451
Avenida Goiânia,Serra,ES,29171-201,BR,-40.24952,-20.13867
Avenida Fioravante Rossi,Colatina,ES,29703-041,BR,-40.67538,-19.53418
Rua Turmalina,Ribeirão das Neves,MG,33825-432,BR,-44.02059,-19.79338
Beco Santo Afonso,Ribeirão das Neves,MG,33938-412,BR,-44.15963,-19.76666
Rua D,Governador Valadares,MG,35039-710,BR,-41.9852,-18.88481
Rua Nicarágua,Ipatinga,MG,35160-125,BR,-42.5274,-19.49012
Rua Treze,Ipatinga,MG,35162-739,BR,-42.58274,-19.46935
Avenida Alberto Giovannini,Ipatinga,MG,35164-546,BR,-42.55587,-19.43668
Rua Ernesto Nazareth,Timóteo,MG,35180-702,BR,-42.63993,-19.54369
Rua Antônio Catuca,Caratinga,MG,35300-014,BR,-42.14362,-19.77873
Rua Antônio Alves,Caratinga,MG,35300-243,BR,-42.13483,-19.78338
